municipality,county,municipality_id,county_id,latitude,longitude,hover
skurup,skåne,1264,12,55.399274,13.600275,skåne skurup
strängnäs,värmland,0486,4,59.712128,14.202896,värmland strängnäs
eskilstuna,örebro,0484,4,59.45620400000001,14.880120000000002,örebro eskilstuna
ånge,gotland,2260,22,57.819483,18.956528,gotland ånge
ovanåker,gävleborg,2121,21,61.345719,16.000104,gävleborg ovanåker
mörbylånga,kalmar,0840,8,56.679426,16.529795,kalmar mörbylånga
alingsås,västra götaland,1489,14,57.980745,12.45817,västra götaland alingsås
helsingborg,skåne,1283,12,56.128579,12.668427,skåne helsingborg
uppsala,uppsala,0380,3,59.877306,18.046123,uppsala uppsala
knivsta,uppsala,0330,3,59.756626,17.763587,uppsala knivsta
trelleborg,skåne,1287,12,55.454374,13.209501,skåne trelleborg
nybro,kalmar,0881,8,56.940257,15.913943,kalmar nybro
karlstad,värmland,1780,17,59.398117000000006,13.608431,värmland karlstad
uppvidinge,kronoberg,0760,7,56.974271,15.652679999999998,kronoberg uppvidinge
östhammar,uppsala,0382,3,60.066453,18.078071,uppsala östhammar
alvesta,kronoberg,0764,7,56.863826,14.44793,kronoberg alvesta
ale,uppsala,1440,14,59.749985,17.761835,uppsala ale
stockholm,stockholm,0180,1,59.3334,17.9803,stockholm stockholm
luleå,norrbotten,2580,25,65.56666700000001,21.783333,norrbotten luleå
tranemo,västra götaland,1452,14,57.421314,13.294558,västra götaland tranemo
uddevalla,västra götaland,1485,14,58.311395,11.818407,västra götaland uddevalla
trelleborg,skåne,1287,12,55.43887700000001,13.318682,skåne trelleborg
gislaved,jönköping,0662,6,57.282982,13.636821,jönköping gislaved
aneby,jönköping,0604,6,57.874561,14.75443,jönköping aneby
ljungby,kronoberg,0781,7,56.82759100000001,13.763888,kronoberg ljungby
göteborg,västra götaland,1480,14,57.813166,12.118917,västra götaland göteborg
västervik,kalmar,0883,8,57.700892,16.334360999999998,kalmar västervik
sundsvall,västernorrland,2281,22,62.373596,17.40904,västernorrland sundsvall
nässjö,halland,0682,6,57.539118,12.110653,halland nässjö
landskrona,skåne,1282,12,55.836544,13.019732,skåne landskrona
luleå,norrbotten,2580,25,65.552552,21.842872,norrbotten luleå
borås,västra götaland,1490,14,57.650125,13.067945,västra götaland borås
arboga,västmanland,1984,19,59.394187,15.839664,västmanland arboga
bollnäs,gävleborg,2183,21,61.473088,16.374964000000002,gävleborg bollnäs
skara,västra götaland,1495,14,58.362007,13.338056,västra götaland skara
vara,västra götaland,1470,14,58.24191500000001,12.873894,västra götaland vara
höganäs,skåne,1284,12,56.273819,12.572109,skåne höganäs
arjeplog,norrbotten,2506,25,66.38071500000001,17.106845,norrbotten arjeplog
kristianstad,skåne,1290,12,56.173923,14.289774,skåne kristianstad
täby,stockholm,0160,1,59.464709,18.129501,stockholm täby
nyköping,södermanland,0480,4,56.180854,15.586153,södermanland nyköping
vellinge,skåne,1233,12,55.515525,13.085134,skåne vellinge
arvidsjaur,norrbotten,2505,25,65.656995,19.345614,norrbotten arvidsjaur
kungälv,västra götaland,1482,14,57.888471,11.591697,västra götaland kungälv
arvika,värmland,1784,17,59.654355,12.591622,värmland arvika
linköping,östergötland,0580,5,58.406696,15.871683,östergötland linköping
örebro,örebro,1880,18,59.14896,15.474376,örebro örebro
askersund,örebro,1882,18,58.8355,14.925755,örebro askersund
landskrona,skåne,1282,12,55.885595,12.947194,skåne landskrona
göteborg,västra götaland,1480,14,57.646285,11.800211,västra götaland göteborg
krokom,jämtland,2309,23,63.365034,14.4847,jämtland krokom
luleå,norrbotten,2580,25,66.109133,22.300143,norrbotten luleå
avesta,dalarna,2084,20,60.14695500000001,16.182699,dalarna avesta
skara,västra götaland,1495,14,58.389166,13.574769,västra götaland skara
ronneby,blekinge,1081,10,56.347209,15.154482000000002,blekinge ronneby
rättvik,gävleborg,2031,20,60.660842,17.076742000000007,gävleborg rättvik
strömsund,västernorrland,2313,23,62.273599,17.143122,västernorrland strömsund
vingåker,örebro,0428,4,58.90527700000001,14.608042,örebro vingåker
värmdö,västra götaland,0120,1,58.96270500000001,12.277522,västra götaland värmdö
hässleholm,skåne,1293,12,56.214274,13.846578,skåne hässleholm
